                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9639,                 3.0614,                 3.8608,                  1.617,                0.01638,                0.23966,                0.08931,                0.03868,                0.01657,                0.23761,                0.09513,                0.04163,                 1.9342,                 2.8228,                 3.9053,                  1.595,             0.00023474,             0.00023474,             0.00023474
                      2,                 1.9221,                 2.6006,                 2.9247,                 1.6343,                0.59057,                0.13556,                0.16467,                0.06583,                0.58785,                0.10866,                 0.1465,                0.05888,                 1.9941,                 3.8411,                 3.0804,                  1.769,             0.00046806,             0.00046806,             0.00046806
                      3,                 1.9399,                 2.5964,                 2.8393,                 1.6225,                  0.438,                0.14164,                0.11245,                0.04956,                0.44387,                0.14814,                0.10962,                0.04386,                 2.1552,                 3.1404,                 2.8402,                 1.8634,             0.00069667,             0.00069667,             0.00069667
                      4,                 1.9148,                 2.5397,                 2.7364,                 1.6427,                0.46883,                0.13085,                0.13225,                0.06839,                0.44739,                0.15633,                0.12535,                0.06001,                 1.9568,                 2.6788,                 2.7236,                 1.8355,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.9217,                  2.596,                 2.5442,                 1.5835,                0.54518,                0.22814,                0.24394,                0.12448,                0.54989,                0.23361,                0.24309,                0.11516,                 1.9472,                 2.5825,                 2.4196,                 1.7143,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.8872,                  2.539,                 2.4489,                 1.5874,                 0.4162,                0.24909,                0.21397,                 0.1039,                0.59594,                0.17812,                 0.2163,                 0.0978,                 1.9316,                  2.462,                 2.3654,                 1.6829,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.8465,                  2.489,                 2.4294,                 1.5376,                0.58259,                0.22088,                0.19149,                0.09516,                0.58323,                0.22021,                  0.193,                 0.0936,                 1.9296,                  2.514,                 2.3004,                  1.695,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.8357,                 2.4992,                 2.4133,                 1.5902,                 0.4455,                0.27389,                0.26002,                0.14124,                0.46056,                0.27865,                0.26603,                0.13549,                 1.8445,                 2.5371,                 2.2501,                 1.5878,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.8196,                 2.4317,                 2.3383,                 1.5584,                0.32243,                 0.2544,                0.22023,                0.12474,                0.32181,                0.24805,                0.22225,                0.11272,                 1.8791,                 2.4493,                 2.4008,                 1.6681,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.8242,                 2.4543,                 2.2873,                 1.5483,                0.60336,                0.26647,                0.21305,                0.10546,                0.60293,                0.26842,                 0.2208,                0.10457,                 1.8751,                 2.3518,                 2.3823,                 1.6746,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.8098,                 2.4169,                 2.2506,                 1.5356,                0.61029,                 0.2754,                0.28677,                0.15621,                0.63157,                0.28447,                0.30196,                0.15092,                 1.8784,                 2.4628,                 2.2514,                 1.6654,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.7942,                 2.3913,                 2.1973,                 1.5238,                0.57319,                0.24314,                0.26362,                0.13685,                0.58709,                0.25502,                0.26424,                0.13306,                 1.8251,                 2.4502,                 2.2347,                 1.6275,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.7741,                 2.3947,                  2.172,                 1.5157,                0.64667,                0.32432,                0.30798,                0.17305,                0.65474,                0.32875,                0.31275,                0.16721,                 1.8397,                 2.3539,                 2.3894,                 1.6843,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.7692,                 2.3411,                 2.1274,                 1.5152,                0.50159,                0.39119,                0.35472,                0.18723,                0.54638,                 0.3648,                0.36645,                0.18921,                 1.8314,                 2.3886,                 2.0208,                 1.5995,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.7585,                 2.3594,                 2.1225,                 1.5067,                0.51464,                0.25979,                0.27755,                0.16034,                0.52792,                0.25714,                0.28091,                0.15806,                 1.8078,                 2.4567,                 2.5184,                 1.6274,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.7563,                 2.4063,                 2.0958,                 1.5268,                0.57585,                 0.2934,                 0.2795,                0.15579,                0.57919,                0.29669,                0.28434,                0.14553,                 1.8441,                 2.4817,                 2.2728,                 1.6885,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.7269,                  2.304,                 2.1005,                 1.5069,                 0.5946,                0.31323,                0.32063,                0.17806,                0.60836,                0.30631,                0.32515,                0.17175,                 1.8516,                 2.3918,                 2.0464,                 1.6384,              0.0006009,              0.0006009,              0.0006009
                     18,                  1.756,                 2.3481,                 2.0713,                 1.5058,                0.52853,                0.35366,                0.31253,                0.17264,                0.52673,                0.32732,                0.30867,                0.17465,                 1.8271,                 2.4939,                  2.063,                 1.6094,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.7252,                 2.2607,                 2.0514,                 1.4943,                0.47615,                 0.3519,                0.31393,                0.18831,                 0.4826,                0.35006,                0.30723,                0.17757,                 1.8023,                 2.4055,                 2.0197,                 1.6195,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.7436,                 2.3188,                 2.0072,                 1.4883,                0.41266,                0.39567,                0.39518,                 0.2304,                 0.4172,                0.37298,                 0.3895,                0.22093,                 1.8148,                 2.4583,                 1.9353,                 1.6138,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.7315,                 2.2911,                 2.0004,                 1.5111,                0.50249,                0.37297,                0.37593,                0.20705,                0.50019,                0.36766,                0.37405,                0.19206,                 1.8575,                 2.3446,                 1.9595,                 1.6756,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.6918,                 2.2344,                 1.9433,                 1.4613,                 0.6473,                0.35365,                0.39497,                0.22333,                0.72354,                0.30142,                0.40862,                0.22015,                 1.8185,                 2.3782,                 1.9261,                 1.6312,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.6907,                 2.2508,                 1.9284,                 1.4533,                0.45219,                0.44029,                 0.3529,                0.19285,                0.46253,                0.44272,                0.35578,                 0.1862,                  1.805,                 2.3666,                 2.0165,                 1.6585,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.6744,                 2.2419,                  1.982,                 1.4928,                0.52045,                 0.3919,                0.38079,                0.20821,                0.54117,                0.36135,                0.38735,                0.20159,                  1.867,                  2.415,                 1.8745,                 1.6451,             0.00055142,             0.00055142,             0.00055142
